Mes,count,mean,std,min,25%,50%,75%,max
1,460.0,0.27859347826086955,0.42667252595148275,0.0,0.0,0.0505,0.41025,2.103
2,658.0,0.38788145896656534,0.4766627179224624,0.0,0.011,0.2055,0.59875,2.149
3,630.0,0.32340317460317464,0.4874032774190921,0.0,0.0,0.081,0.464,2.253
4,117.0,0.5890940170940169,0.5452697526486789,0.0,0.189,0.437,0.816,2.206
5,650.0,0.40043384615384614,0.4758131595460584,0.0,0.013,0.2065,0.67525,2.2
6,682.0,0.44612463343108505,0.5532680061654941,0.0,0.003,0.222,0.67625,2.301
7,677.0,0.7413633677991137,0.6158966362833059,0.0,0.178,0.626,1.225,2.301
8,561.0,0.9753065953654187,0.7930201304254482,0.0,0.124,0.951,1.741,2.318
9,532.0,0.42366541353383463,0.5797592922874234,0.0,0.0,0.10200000000000001,0.74525,2.313
10,691.0,0.28891316931982636,0.4585394942770196,0.0,0.0,0.028,0.396,2.215
11,696.0,0.24905459770114943,0.4095010122444027,0.0,0.0,0.044,0.337,2.289
12,498.0,0.46860040160642563,0.5928700874588464,0.0,0.003,0.188,0.759,2.245
