Mes,count,mean,std,min,25%,50%,75%,max
1,461.0,2.1382689804772235,0.7684250248375355,0.658,1.554,2.08,2.585,4.896
2,660.0,1.8713530303030308,0.721595840145882,0.365,1.3820000000000001,1.7774999999999999,2.266,6.211
3,654.0,3.286896024464832,1.6050401076647114,0.0,2.004,3.3385,4.5,8.006
4,34.0,4.3875,0.8645417861503282,2.965,3.6855,4.475,4.955,6.715
5,668.0,4.3867694610778445,0.8215538633408791,2.706,3.8274999999999997,4.2735,4.7705,7.684
6,716.0,4.219149441340782,0.7757152882374317,2.676,3.6935000000000002,4.1225000000000005,4.66925,8.005
7,731.0,4.099679890560876,0.6163328791631372,2.864,3.686,3.972,4.425000000000001,6.883
8,691.0,4.1353617945007235,0.6789262297457471,2.9,3.6254999999999997,4.031,4.504,7.511
9,625.0,4.924676799999999,0.9303630931619916,2.736,4.249,4.821,5.46,7.948
10,586.0,4.567529010238908,1.5188809049528773,0.0,3.57375,4.939500000000001,5.47875,8.0
11,708.0,2.5035367231638417,1.0641376837444105,0.432,1.6917499999999999,2.5525,3.43025,7.406
12,626.0,1.677507987220447,0.6636650919975392,0.482,1.30675,1.5585,1.86775,7.304
