Mes,count,mean,std,min,25%,50%,75%,max
1,448.0,3.2887366071428574,2.104293881641155,0.722,1.8295000000000001,2.6215,4.063750000000001,13.235
2,631.0,3.552499207606973,2.0901609491264876,0.701,1.9715,3.072,4.5024999999999995,13.058
3,610.0,4.6908377049180325,2.852570458650322,1.009,2.3192500000000003,4.1675,6.3055,13.328
4,35.0,4.585057142857144,2.7858852003590946,1.205,2.45,3.821,5.994,12.141
5,555.0,4.7097873873873874,3.687215561546892,0.0,1.2225000000000001,4.268,7.422,13.297
6,653.0,4.13288514548239,3.2694075457150324,0.0,1.384,3.635,6.312,13.182
7,713.0,2.799444600280505,2.8932686717324136,0.0,0.513,2.01,3.962,13.273
8,648.0,3.5359737654320984,3.116393314871174,0.0,1.20825,2.5975,5.26425,13.221
9,611.0,4.418144026186579,2.916321135065377,0.689,1.7109999999999999,3.683,6.4445,13.319
10,553.0,3.3252025316455702,3.061877234318361,0.0,1.155,2.235,5.102,13.18
11,710.0,1.8821225352112676,2.658595273258977,0.0,0.13875,0.6395,2.5854999999999997,12.595
12,579.0,2.8364628670120897,3.0765162402280475,0.0,0.5385,1.672,4.0085,13.288
