Mes,count,mean,std,min,25%,50%,75%,max
1,462.0,24.65999350649351,10.732668103218352,3.367,15.83975,26.924,33.0905,52.107
2,660.0,23.951068181818183,11.91768526564381,3.211,14.181000000000001,24.003,31.94975,57.003
3,657.0,22.265257229832574,12.495122499468334,2.261,11.091,22.98,30.864,68.941
4,118.0,25.40985593220339,18.529368442000635,1.918,8.2655,21.749000000000002,36.692499999999995,68.474
5,689.0,34.45616835994195,9.60998120630666,13.6,27.7,32.4,38.7,59.6
6,720.0,43.331805555555555,7.646445232323891,23.8,38.1,42.8,49.3,61.8
7,744.0,48.99301075268818,7.014467231822927,29.0,43.7,48.9,54.5,63.0
8,737.0,44.46051560379918,5.338404363368795,22.0,40.2,45.3,47.9,57.9
9,684.0,54.7796783625731,9.397478519891909,21.3,48.2,54.9,60.3,74.2
10,744.0,47.62782258064516,8.310723267456193,31.4,41.1,47.4,53.3,66.8
11,720.0,34.711666666666666,4.513435668080652,23.0,30.3,35.3,37.625,46.2
12,679.0,26.640206185567006,8.4646281519589,8.2,22.15,28.0,32.4,42.3
