Mes,count,mean,std,min,25%,50%,75%,max
1,405.0,18.081802469135802,7.876715360277123,0.0,11.764,17.69,23.376,36.028
2,531.0,19.085075329566855,8.33106726780728,0.0,12.186,18.292,25.739,36.155
3,432.0,19.108780092592593,8.098430558633781,0.0,12.43675,18.494500000000002,25.028750000000002,36.033
4,99.0,19.340161616161616,8.303766501803313,4.679,12.607,18.704,26.265,36.141
5,690.0,20.814202898550725,4.681064721341793,8.7,17.8,20.8,23.2,36.1
6,660.0,19.240909090909092,9.689244029084644,0.1,14.1,20.0,26.3,36.1
7,569.0,8.974165202108964,8.965606252376926,0.0,0.7,6.7,15.0,35.9
8,744.0,14.791666666666666,4.442346138068065,4.7,11.4,14.6,17.3,28.4
9,720.0,13.082916666666668,2.6190008273761465,7.2,11.2,12.9,14.7,21.2
10,744.0,19.891532258064515,4.141260179274406,9.9,17.075000000000003,20.6,22.7,30.6
11,720.0,17.701805555555556,3.8263575413781505,9.0,15.8,17.3,19.1,30.3
12,700.0,16.242428571428572,4.233632941662903,10.0,13.7,15.4,17.3,35.4
