Mes,count,mean,std,min,25%,50%,75%,max
1,311.0,2.560315112540193,1.2990189662115508,0.0,1.36,2.847,3.6035,4.635
2,629.0,2.5765898251192367,1.3213432524232045,0.0,1.435,2.831,3.689,4.578
3,539.0,2.1183914656771803,1.2200784775788784,0.0,1.1179999999999999,2.193,3.0105,4.601
4,104.0,2.7011634615384614,1.2650883012320189,0.352,1.3935,3.1785,3.7327500000000002,4.64
5,688.0,2.1938953488372093,0.9567156034822009,0.1,1.5,2.2,3.0,4.6
6,695.0,1.2553956834532374,0.6874725733979677,0.1,0.8,1.1,1.6,4.3
7,735.0,0.6500680272108843,0.9556211844800372,0.0,0.1,0.3,0.7,4.6
8,744.0,0.23776881720430107,0.27401775206652157,0.0,0.1,0.2,0.3,1.6
9,720.0,0.40402777777777776,0.3868102132713425,0.0,0.1,0.3,0.6,1.6
10,744.0,0.25927419354838704,0.22714806261101053,0.0,0.1,0.2,0.4,1.0
11,720.0,0.5195833333333334,0.4708969262587561,0.0,0.1,0.4,0.9,1.7
12,696.0,1.1844827586206899,0.5796952980240809,0.0,0.9,1.1,1.5,2.6
