Mes,count,mean,std,min,25%,50%,75%,max
1,451.0,11.203190687361422,6.669205914683278,0.0,6.5685,9.612,15.0155,36.571
2,378.0,12.313203703703703,8.272933281515732,0.001,6.625,10.4165,15.44125,40.161
3,385.0,14.11529090909091,9.81545472915807,0.002,7.682,12.467,19.037,40.278
4,118.0,16.156618644067798,7.107261957219412,4.053,11.04675,15.299499999999998,19.7685,35.341
5,486.0,11.65890329218107,10.989394706599288,0.0,0.024,10.6665,18.68925,40.436
6,628.0,14.7680525477707,9.43319884986498,0.621,7.7945,12.4305,20.19125,40.676
7,584.0,12.69029794520548,8.161130613808298,0.0,6.77075,10.524000000000001,16.9295,40.198
8,629.0,15.577275039745627,8.981170206389784,1.387,9.011,13.378,20.561,40.885
9,635.0,15.937211023622048,9.178404340587228,1.432,9.068000000000001,13.875,21.409,40.74
10,652.0,15.482891104294477,8.42164597490773,0.922,8.99,14.074,20.5395,40.246
11,703.0,14.385743954480796,9.126729818314583,0.989,7.922000000000001,12.631,19.8045,39.793
12,439.0,12.659824601366743,7.97966500331032,0.0,7.3935,11.233,16.877499999999998,39.939
