Mes,count,mean,std,min,25%,50%,75%,max
1,345.0,2.5333478260869566,1.2731159498209794,0.0,1.479,2.844,3.554,4.552
2,627.0,2.5702232854864433,1.3186197575798426,0.0,1.431,2.83,3.6870000000000003,4.546
3,536.0,2.1045970149253734,1.2094152560632554,0.0,1.10525,2.191,2.992,4.487
4,101.0,2.644594059405941,1.2395100256005824,0.352,1.284,3.143,3.694,4.518
5,683.0,2.176281112737921,0.9376889870326296,0.1,1.5,2.2,2.95,4.5
6,695.0,1.2553956834532374,0.6874725733979677,0.1,0.8,1.1,1.6,4.3
7,734.0,0.6446866485013624,0.9450627630464944,0.0,0.1,0.3,0.7,4.5
8,744.0,0.23776881720430107,0.27401775206652157,0.0,0.1,0.2,0.3,1.6
9,720.0,0.40402777777777776,0.3868102132713425,0.0,0.1,0.3,0.6,1.6
10,744.0,0.25927419354838704,0.22714806261101053,0.0,0.1,0.2,0.4,1.0
11,720.0,0.5195833333333334,0.4708969262587561,0.0,0.1,0.4,0.9,1.7
12,696.0,1.1844827586206899,0.5796952980240809,0.0,0.9,1.1,1.5,2.6
